County,State,Commodity,Corn_Yield_BuAcre_2022,PrecisionAg_Usage_Range,PrecisionAg_Usage_Midpoint_2022 (%),Controlled_Traffic_Farming_2021,Soil_Moisture_Monitoring_Y2_Y5_2021,Precision_Pesticide_Application_2021,Precision_Ag_Nutrient_Loss_Reduction_2021,Net_CSP_Incentive_2021,High_CSP_Incentive,High_Precision_Usage
RUSH,INDIANA,CORN,195.4,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
SHELBY,INDIANA,CORN,196.8,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
TIPTON,INDIANA,CORN,205,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
BLACKFORD,INDIANA,CORN,183.1,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
DELAWARE,INDIANA,CORN,184.4,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
FAYETTE,INDIANA,CORN,184.9,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
HENRY,INDIANA,CORN,185.2,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
JAY,INDIANA,CORN,185,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
RANDOLPH,INDIANA,CORN,182.6,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
UNION,INDIANA,CORN,195.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
WAYNE,INDIANA,CORN,181.3,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
CARROLL,INDIANA,CORN,203.6,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
CASS,INDIANA,CORN,194.3,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
ELKHART,INDIANA,CORN,200.4,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
KOSCIUSKO,INDIANA,CORN,191.1,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
MARSHALL,INDIANA,CORN,193.6,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
MIAMI,INDIANA,CORN,190.1,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
ST. JOSEPH,INDIANA,CORN,166.6,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
WABASH,INDIANA,CORN,194.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
ADAMS,INDIANA,CORN,186.6,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
ALLEN,INDIANA,CORN,184.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
DE KALB,INDIANA,CORN,186.6,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
HUNTINGTON,INDIANA,CORN,185.6,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
LAGRANGE,INDIANA,CORN,178.8,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
NOBLE,INDIANA,CORN,199.3,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
STEUBEN,INDIANA,CORN,178.1,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
WELLS,INDIANA,CORN,190.4,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
WHITLEY,INDIANA,CORN,186.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
BENTON,INDIANA,CORN,212.9,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
JASPER,INDIANA,CORN,183.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
LA PORTE,INDIANA,CORN,171.1,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
LAKE,INDIANA,CORN,184.1,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
NEWTON,INDIANA,CORN,204.8,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
PORTER,INDIANA,CORN,188.2,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
PULASKI,INDIANA,CORN,177.9,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
STARKE,INDIANA,CORN,181,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
WHITE,INDIANA,CORN,181.2,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
HARRISON,INDIANA,CORN,183.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
JACKSON,INDIANA,CORN,190.1,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
LAWRENCE,INDIANA,CORN,169,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
MONROE,INDIANA,CORN,166.9,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
PERRY,INDIANA,CORN,172.4,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
WASHINGTON,INDIANA,CORN,180,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
CLARK,INDIANA,CORN,184.1,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
DEARBORN,INDIANA,CORN,160.6,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
FRANKLIN,INDIANA,CORN,185.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
JEFFERSON,INDIANA,CORN,184,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
JENNINGS,INDIANA,CORN,180.2,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
RIPLEY,INDIANA,CORN,166.9,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
SCOTT,INDIANA,CORN,186.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
SWITZERLAND,INDIANA,CORN,179.2,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
DAVIESS,INDIANA,CORN,197.6,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
DUBOIS,INDIANA,CORN,179.8,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
GIBSON,INDIANA,CORN,197.2,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
KNOX,INDIANA,CORN,198.3,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
MARTIN,INDIANA,CORN,184.5,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
PIKE,INDIANA,CORN,166.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
POSEY,INDIANA,CORN,193.4,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
SULLIVAN,INDIANA,CORN,186,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
VANDERBURGH,INDIANA,CORN,191,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
WARRICK,INDIANA,CORN,179.1,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
CLAY,INDIANA,CORN,193.3,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
FOUNTAIN,INDIANA,CORN,191.5,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
OWEN,INDIANA,CORN,176.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
PARKE,INDIANA,CORN,183.4,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
PUTNAM,INDIANA,CORN,200.9,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
TIPPECANOE,INDIANA,CORN,188.6,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
VERMILLION,INDIANA,CORN,199.7,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
VIGO,INDIANA,CORN,186,40 to 49.9%,45,7.46,20.3,10.94,14.99,13.42,0,1
OTHER COUNTIES,IOWA,CORN,150.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
BOONE,IOWA,CORN,202.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
DALLAS,IOWA,CORN,187.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
GRUNDY,IOWA,CORN,207.5,≥50%,55,,19.33,11.22,15.23,15.26,1,1
HAMILTON,IOWA,CORN,208.6,≥50%,55,,19.33,11.22,15.23,15.26,1,1
HARDIN,IOWA,CORN,215.6,≥50%,55,,19.33,11.22,15.23,15.26,1,1
JASPER,IOWA,CORN,203.6,≥50%,55,,19.33,11.22,15.23,15.26,1,1
MARSHALL,IOWA,CORN,214.1,≥50%,55,,19.33,11.22,15.23,15.26,1,1
POLK,IOWA,CORN,188.6,≥50%,55,,19.33,11.22,15.23,15.26,1,1
POWESHIEK,IOWA,CORN,193.3,≥50%,55,,19.33,11.22,15.23,15.26,1,1
STORY,IOWA,CORN,207.1,≥50%,55,,19.33,11.22,15.23,15.26,1,1
TAMA,IOWA,CORN,203.3,≥50%,55,,19.33,11.22,15.23,15.26,1,1
WEBSTER,IOWA,CORN,201.5,≥50%,55,,19.33,11.22,15.23,15.26,1,1
BENTON,IOWA,CORN,221.7,≥50%,55,,19.33,11.22,15.23,15.26,1,1
CEDAR,IOWA,CORN,221.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
CLINTON,IOWA,CORN,225.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
IOWA,IOWA,CORN,205.9,≥50%,55,,19.33,11.22,15.23,15.26,1,1
JACKSON,IOWA,CORN,219.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
JOHNSON,IOWA,CORN,205.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
JONES,IOWA,CORN,218.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
LINN,IOWA,CORN,215,≥50%,55,,19.33,11.22,15.23,15.26,1,1
MUSCATINE,IOWA,CORN,213.1,≥50%,55,,19.33,11.22,15.23,15.26,1,1
SCOTT,IOWA,CORN,216.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
BUTLER,IOWA,CORN,212.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
CERRO GORDO,IOWA,CORN,216.9,≥50%,55,,19.33,11.22,15.23,15.26,1,1
FLOYD,IOWA,CORN,204.6,≥50%,55,,19.33,11.22,15.23,15.26,1,1
FRANKLIN,IOWA,CORN,220.1,≥50%,55,,19.33,11.22,15.23,15.26,1,1
HANCOCK,IOWA,CORN,211.5,≥50%,55,,19.33,11.22,15.23,15.26,1,1
HUMBOLDT,IOWA,CORN,195.5,≥50%,55,,19.33,11.22,15.23,15.26,1,1
KOSSUTH,IOWA,CORN,196.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
MITCHELL,IOWA,CORN,217.9,≥50%,55,,19.33,11.22,15.23,15.26,1,1
WINNEBAGO,IOWA,CORN,217.5,≥50%,55,,19.33,11.22,15.23,15.26,1,1
WORTH,IOWA,CORN,219.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
WRIGHT,IOWA,CORN,209.7,≥50%,55,,19.33,11.22,15.23,15.26,1,1
ALLAMAKEE,IOWA,CORN,215.9,≥50%,55,,19.33,11.22,15.23,15.26,1,1
BLACK HAWK,IOWA,CORN,202.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
BREMER,IOWA,CORN,210.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
BUCHANAN,IOWA,CORN,209.7,≥50%,55,,19.33,11.22,15.23,15.26,1,1
CHICKASAW,IOWA,CORN,214.6,≥50%,55,,19.33,11.22,15.23,15.26,1,1
CLAYTON,IOWA,CORN,215.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
DELAWARE,IOWA,CORN,230.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
DUBUQUE,IOWA,CORN,223.7,≥50%,55,,19.33,11.22,15.23,15.26,1,1
FAYETTE,IOWA,CORN,209.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
HOWARD,IOWA,CORN,217.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
WINNESHIEK,IOWA,CORN,212.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
BUENA VISTA,IOWA,CORN,196.9,≥50%,55,,19.33,11.22,15.23,15.26,1,1
CHEROKEE,IOWA,CORN,198.7,≥50%,55,,19.33,11.22,15.23,15.26,1,1
CLAY,IOWA,CORN,191.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
DICKINSON,IOWA,CORN,203.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
EMMET,IOWA,CORN,213.6,≥50%,55,,19.33,11.22,15.23,15.26,1,1
LYON,IOWA,CORN,190.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
O BRIEN,IOWA,CORN,201.1,≥50%,55,,19.33,11.22,15.23,15.26,1,1
OSCEOLA,IOWA,CORN,197.5,≥50%,55,,19.33,11.22,15.23,15.26,1,1
PALO ALTO,IOWA,CORN,195.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
PLYMOUTH,IOWA,CORN,171.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
POCAHONTAS,IOWA,CORN,198.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
SIOUX,IOWA,CORN,196.6,≥50%,55,,19.33,11.22,15.23,15.26,1,1
APPANOOSE,IOWA,CORN,146.1,≥50%,55,,19.33,11.22,15.23,15.26,1,1
DECATUR,IOWA,CORN,148.7,≥50%,55,,19.33,11.22,15.23,15.26,1,1
LUCAS,IOWA,CORN,139.5,≥50%,55,,19.33,11.22,15.23,15.26,1,1
MADISON,IOWA,CORN,166.9,≥50%,55,,19.33,11.22,15.23,15.26,1,1
MARION,IOWA,CORN,175.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
MONROE,IOWA,CORN,145.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
RINGGOLD,IOWA,CORN,151.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
UNION,IOWA,CORN,149.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
WARREN,IOWA,CORN,157.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
WAYNE,IOWA,CORN,170.1,≥50%,55,,19.33,11.22,15.23,15.26,1,1
DAVIS,IOWA,CORN,154.9,≥50%,55,,19.33,11.22,15.23,15.26,1,1
DES MOINES,IOWA,CORN,194.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
HENRY,IOWA,CORN,167.7,≥50%,55,,19.33,11.22,15.23,15.26,1,1
JEFFERSON,IOWA,CORN,178,≥50%,55,,19.33,11.22,15.23,15.26,1,1
KEOKUK,IOWA,CORN,170.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
LEE,IOWA,CORN,178.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
LOUISA,IOWA,CORN,196.3,≥50%,55,,19.33,11.22,15.23,15.26,1,1
MAHASKA,IOWA,CORN,186.3,≥50%,55,,19.33,11.22,15.23,15.26,1,1
VAN BUREN,IOWA,CORN,151.9,≥50%,55,,19.33,11.22,15.23,15.26,1,1
WAPELLO,IOWA,CORN,170.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
WASHINGTON,IOWA,CORN,185.7,≥50%,55,,19.33,11.22,15.23,15.26,1,1
ADAIR,IOWA,CORN,164.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
CASS,IOWA,CORN,179.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
FREMONT,IOWA,CORN,191.6,≥50%,55,,19.33,11.22,15.23,15.26,1,1
MILLS,IOWA,CORN,191.1,≥50%,55,,19.33,11.22,15.23,15.26,1,1
MONTGOMERY,IOWA,CORN,187.8,≥50%,55,,19.33,11.22,15.23,15.26,1,1
PAGE,IOWA,CORN,174.5,≥50%,55,,19.33,11.22,15.23,15.26,1,1
POTTAWATTAMIE,IOWA,CORN,195,≥50%,55,,19.33,11.22,15.23,15.26,1,1
TAYLOR,IOWA,CORN,172.1,≥50%,55,,19.33,11.22,15.23,15.26,1,1
AUDUBON,IOWA,CORN,197.9,≥50%,55,,19.33,11.22,15.23,15.26,1,1
CALHOUN,IOWA,CORN,202.3,≥50%,55,,19.33,11.22,15.23,15.26,1,1
CARROLL,IOWA,CORN,195.7,≥50%,55,,19.33,11.22,15.23,15.26,1,1
CRAWFORD,IOWA,CORN,216.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
GREENE,IOWA,CORN,197.3,≥50%,55,,19.33,11.22,15.23,15.26,1,1
GUTHRIE,IOWA,CORN,193.6,≥50%,55,,19.33,11.22,15.23,15.26,1,1
HARRISON,IOWA,CORN,172.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
IDA,IOWA,CORN,221.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
MONONA,IOWA,CORN,168.6,≥50%,55,,19.33,11.22,15.23,15.26,1,1
SAC,IOWA,CORN,212.4,≥50%,55,,19.33,11.22,15.23,15.26,1,1
SHELBY,IOWA,CORN,209,≥50%,55,,19.33,11.22,15.23,15.26,1,1
WOODBURY,IOWA,CORN,200.2,≥50%,55,,19.33,11.22,15.23,15.26,1,1
OTHER COUNTIES,KANSAS,CORN,101.9,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
BARTON,KANSAS,CORN,130.5,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
DICKINSON,KANSAS,CORN,114.9,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
ELLIS,KANSAS,CORN,73.4,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
MARION,KANSAS,CORN,72.5,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
RICE,KANSAS,CORN,117.4,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
SALINE,KANSAS,CORN,103.7,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
ANDERSON,KANSAS,CORN,75.4,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
CHASE,KANSAS,CORN,107.2,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
COFFEY,KANSAS,CORN,83,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
DOUGLAS,KANSAS,CORN,111.1,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
GEARY,KANSAS,CORN,150.3,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
JOHNSON,KANSAS,CORN,99.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
LINN,KANSAS,CORN,86.2,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
LYON,KANSAS,CORN,65.3,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
MIAMI,KANSAS,CORN,93.2,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
MORRIS,KANSAS,CORN,99.9,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
OSAGE,KANSAS,CORN,81.7,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
SHAWNEE,KANSAS,CORN,118.9,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
WABAUNSEE,KANSAS,CORN,119.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
CLAY,KANSAS,CORN,152.3,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
CLOUD,KANSAS,CORN,115.7,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
MITCHELL,KANSAS,CORN,84.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
OSBORNE,KANSAS,CORN,75.5,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
PHILLIPS,KANSAS,CORN,60.3,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
REPUBLIC,KANSAS,CORN,158.3,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
ROOKS,KANSAS,CORN,42.1,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
SMITH,KANSAS,CORN,97.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
WASHINGTON,KANSAS,CORN,149.5,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
ATCHISON,KANSAS,CORN,145.4,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
BROWN,KANSAS,CORN,196.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
DONIPHAN,KANSAS,CORN,195.3,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
JEFFERSON,KANSAS,CORN,131.4,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
LEAVENWORTH,KANSAS,CORN,129.2,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
MARSHALL,KANSAS,CORN,153.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
RILEY,KANSAS,CORN,148.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
CHEYENNE,KANSAS,CORN,109,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
GRAHAM,KANSAS,CORN,52.7,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
NORTON,KANSAS,CORN,50.3,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
RAWLINS,KANSAS,CORN,34.1,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
SHERMAN,KANSAS,CORN,100.3,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
BARBER,KANSAS,CORN,178.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
EDWARDS,KANSAS,CORN,147.2,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
HARVEY,KANSAS,CORN,109,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
KINGMAN,KANSAS,CORN,129.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
KIOWA,KANSAS,CORN,147.9,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
PAWNEE,KANSAS,CORN,125,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
PRATT,KANSAS,CORN,175.2,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
RENO,KANSAS,CORN,145.2,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
SEDGWICK,KANSAS,CORN,137.2,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
SUMNER,KANSAS,CORN,49.5,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
ALLEN,KANSAS,CORN,66.2,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
BOURBON,KANSAS,CORN,87.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
BUTLER,KANSAS,CORN,70.4,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
CHAUTAUQUA,KANSAS,CORN,29.3,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
CHEROKEE,KANSAS,CORN,37.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
COWLEY,KANSAS,CORN,55.7,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
ELK,KANSAS,CORN,81.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
GREENWOOD,KANSAS,CORN,62.4,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
LABETTE,KANSAS,CORN,27.7,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
NEOSHO,KANSAS,CORN,50.8,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
WILSON,KANSAS,CORN,60.9,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
WOODSON,KANSAS,CORN,63.4,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
FINNEY,KANSAS,CORN,147.6,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
FORD,KANSAS,CORN,180,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
GRANT,KANSAS,CORN,228.1,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
GRAY,KANSAS,CORN,196.9,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
HAMILTON,KANSAS,CORN,75.7,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
HASKELL,KANSAS,CORN,158.6,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
MEADE,KANSAS,CORN,198.9,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
MORTON,KANSAS,CORN,157.3,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
SEWARD,KANSAS,CORN,211.1,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
STEVENS,KANSAS,CORN,167.1,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
GOVE,KANSAS,CORN,58.1,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
GREELEY,KANSAS,CORN,50.9,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
LANE,KANSAS,CORN,70.4,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
NESS,KANSAS,CORN,55.1,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
SCOTT,KANSAS,CORN,42.4,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
WALLACE,KANSAS,CORN,76.5,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
WICHITA,KANSAS,CORN,70.6,40 to 49.9%,45,7.71,19.56,11.75,15.8,13.7,0,1
OTHER COUNTIES,KENTUCKY,CORN,157.8,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
BOYLE,KENTUCKY,CORN,198.9,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
CLARK,KENTUCKY,CORN,179.1,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
FLEMING,KENTUCKY,CORN,160.5,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
GARRARD,KENTUCKY,CORN,155.8,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
HARRISON,KENTUCKY,CORN,161.2,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
LINCOLN,KENTUCKY,CORN,175.6,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
MADISON,KENTUCKY,CORN,144.1,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
MASON,KENTUCKY,CORN,173.4,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
MERCER,KENTUCKY,CORN,183.9,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
MONTGOMERY,KENTUCKY,CORN,139.9,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
NICHOLAS,KENTUCKY,CORN,150,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
SCOTT,KENTUCKY,CORN,185.3,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
SHELBY,KENTUCKY,CORN,193.3,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
SPENCER,KENTUCKY,CORN,171.3,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
WOODFORD,KENTUCKY,CORN,168.6,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
ADAIR,KENTUCKY,CORN,176.8,20 to 29.9%,25,,19.06,11.13,15.23,15.14,1,0
